위도,경도,소재지도로명주소,소재지지번주소
37.6621027,127.0396242,서울특별시 도봉구 방학로3길 12-29,NA
37.6655472,127.0416053,서울특별시 도봉구 도봉로145나길 23,NA
37.6685898,127.0418099,서울특별시 도봉구 도당로29길 31,NA
37.6644579,127.0278401,서울특별시 도봉구 시루봉로 149-15,NA
37.6680715,127.0342652,서울특별시 도봉구 시루봉로 219,NA
37.669996,127.0364563,서울특별시 도봉구 시루봉로 245-26,NA
37.6698088,127.0308773,서울특별시 도봉구 시루봉로15자길 14,NA
37.6641056,127.0418245,서울특별시 도봉구 도봉로 145가길 12,NA
37.6613663,127.0407048,서울특별시 도봉구 방학로3길 30,NA
37.6608634,127.0400142,서울특별시 도봉구 도봉로139길 30,NA
37.6618386,127.0392785,서울특별시 도봉구 도봉로143길 50,NA
37.6561144,127.0347544,서울특별시 도봉구 도봉로129길 54,NA
37.6541769,127.0372523,서울특별시 도봉구 도봉로127길 10,NA
37.653359,127.0339843,서울특별시 도봉구 도봉로123길 53,NA
37.6517058,127.0321348,서울특별시 도봉구 노해로55길 13,NA
37.6578504,127.0152113,서울특별시 도봉구 해등로36길 4,NA
37.6549876,127.0191896,서울특별시 도봉구 우이천로48길 67,NA
37.6561845,127.0166307,서울특별시 도봉구 우이천로48길 17,NA
37.6522757,127.0238829,서울특별시 도봉구 시루봉로1길 76,NA
37.6527863,127.0226455,서울특별시 도봉구 우이천로38길 84,NA
37.6508788,127.0254798,서울특별시 도봉구 노해로45길 47,NA
37.6494165,127.0342439,서울특별시 도봉구 도봉로117길 11,NA
37.6496335,127.0321379,서울특별시 도봉구 도봉로117길 51,NA
37.6485806,127.0350548,서울특별시 도봉구 도봉로 484,NA
37.6485806,127.0350548,서울특별시 도봉구 도봉로 484,NA
37.6482352,127.0332541,서울특별시 도봉구 도봉로113길 16,NA
37.6503047,127.0309257,서울특별시 도봉구 노해로48길 47,NA
37.6472915,127.0300288,서울특별시 도봉구 도봉로109길 62,NA
37.6495447,127.0301083,서울특별시 도봉구 도봉로117길 88,NA
37.6500559,127.0291565,서울특별시 도봉구 노해로48길 13,NA
37.6485646,127.028266,서울특별시 도봉구 노해로44길 20,NA
37.6447624,127.0314702,서울특별시 도봉구 도봉로103길 11,NA
37.6493829,127.0189256,서울특별시 도봉구 우이천로39나길 11-2,NA
37.6506436,127.0226453,서울특별시 도봉구 우이천로38길 25,NA
37.648386,127.0312101,서울특별시 도봉구 도봉로113길 54,NA
37.6528919,127.0240822,서울특별시 도봉구 우이천로38라길 28,NA
37.660796,127.0430378,서울특별시 도봉구 도봉로140길 14,NA
37.6556321,127.044583,서울특별시 도봉구 노해로63다길 80,NA
37.6526678,127.0382657,서울특별시 도봉구 도봉로126길 16,NA
37.6548019,127.0413139,서울특별시 도봉구 해등로14길 8,NA
37.65528,127.0399422,서울특별시 도봉구 해등로 133-23,NA
37.6531856,127.0481139,서울특별시 도봉구 마들로11길 77,NA
